threshold,macro_f05
0.05,0.9149415379036799
0.07500000000000001,0.928359547546913
0.10000000000000002,0.9380801425820534
0.12500000000000003,0.9449565341363879
0.15000000000000002,0.9494030373974153
0.17500000000000004,0.9529990230719698
0.20000000000000007,0.9553454971477631
0.22500000000000003,0.9589687269097924
0.25000000000000006,0.9602478749156829
0.2750000000000001,0.9618415531502983
0.3000000000000001,0.9628575130599897
0.32500000000000007,0.9646620158653467
0.3500000000000001,0.9665480342299457
0.3750000000000001,0.9683989580648206
0.4000000000000001,0.9686852641604646
0.4250000000000001,0.97058563602482
0.4500000000000001,0.9711938177463922
0.47500000000000014,0.971767961093438
0.5000000000000002,0.9736695419480695
0.5250000000000001,0.9747024562827686
0.5500000000000003,0.9755858500486685
0.5750000000000002,0.9759020775681096
0.6000000000000002,0.9765369369696361
0.6250000000000002,0.9766041638988324
0.6500000000000002,0.9772253197152049
0.6750000000000003,0.9781514715582849
0.7000000000000003,0.9787371472376964
0.7250000000000003,0.9799939253470089
0.7500000000000002,0.9804088788339461
0.7750000000000002,0.9812616214769845
0.8000000000000003,0.9819367019096
0.8250000000000003,0.9825150717131867
0.8500000000000003,0.983359752922994
0.8750000000000003,0.9842840329610133
0.9000000000000004,0.9833536834777545
0.9250000000000004,0.984439239798513
0.9500000000000004,0.9850069612272762
0.9750000000000003,0.9844123118413128
